episode,grad_norm,grad_M,grad_F,n_obs
44,1.9814241625226717e-07,1.5895537330834486e-07,1.1793743226462541e-07,40000
45,1.883953046899478e-07,1.503957207660278e-07,1.131448286173509e-07,40000
46,1.7842445743099233e-07,1.42130105018623e-07,1.0757434409924826e-07,40000
47,1.698814315886921e-07,1.349941101125296e-07,1.028671192671027e-07,40000
48,1.615422888789908e-07,1.2795686643585213e-07,9.836454495371073e-08,40000
49,1.525062884866202e-07,1.2041003571994224e-07,9.338058504226865e-08,40000
50,1.4555196514720592e-07,1.1460355864301165e-07,8.95343035267615e-08,40000
51,1.383854879577484e-07,1.0867999122865513e-07,8.549007191049895e-08,40000
52,1.3262567222227517e-07,1.039756227783073e-07,8.216176894393358e-08,40000
53,1.2706284735486406e-07,9.944015033624964e-08,7.893858366969654e-08,40000
54,1.212387985560781e-07,9.471103368241529e-08,7.55361142523725e-08,40000
55,1.1588159054554127e-07,9.025389147154784e-08,7.253941447515899e-08,40000
56,1.1021627699392412e-07,8.559454300893776e-08,6.930253704240387e-08,40000
57,1.0548239970376017e-07,8.159370423754808e-08,6.67241195628776e-08,40000
58,1.0022228735806493e-07,7.719363992464423e-08,6.379625006047719e-08,40000
59,9.554884172757738e-08,7.317729711076026e-08,6.132426477734043e-08,40000
60,9.114526022813153e-08,6.937948882068667e-08,5.899877209003535e-08,40000
61,8.711037224884421e-08,6.597070267844174e-08,5.6777686552322855e-08,40000
62,8.345813995447315e-08,6.295535115441453e-08,5.4683646055764263e-08,40000
63,7.98739634433332e-08,6.006948183312488e-08,5.253864188148327e-08,40000
64,7.724151629417976e-08,5.7933579711288985e-08,5.097629696138029e-08,40000
65,7.428408110854434e-08,5.5534222553887964e-08,4.921931662238421e-08,40000
66,7.176725347335379e-08,5.3476547634545575e-08,4.773760764464897e-08,40000
67,6.929894169616091e-08,5.1611493745440384e-08,4.611386827946262e-08,40000
68,6.629918658518363e-08,4.9315126204874105e-08,4.4177440372550336e-08,40000
69,6.387728745949063e-08,4.745836079678156e-08,4.261336883359945e-08,40000
70,6.169075561501813e-08,4.5812317495119714e-08,4.11760865404176e-08,40000
71,5.997831920012686e-08,4.452600421700481e-08,4.004355957931693e-08,40000
72,5.789101820141696e-08,4.2892114748838146e-08,3.873470433291004e-08,40000
73,5.6051003838319964e-08,4.1424858210348254e-08,3.7604458213991165e-08,40000
74,5.4406349647706527e-08,4.007461029686965e-08,3.6631401911790824e-08,40000
75,5.307958872435847e-08,3.891505073738699e-08,3.592084851788968e-08,40000
76,5.195441232785925e-08,3.792840530536523e-08,3.531850367721745e-08,40000
77,5.078207365727395e-08,3.6917970902550223e-08,3.4674425108960356e-08,40000
78,4.9500727072882e-08,3.5810703735705835e-08,3.3970913193570595e-08,40000
79,4.7991356666443614e-08,3.4556723704781695e-08,3.3086354989109175e-08,40000
80,4.6604384351667256e-08,3.3352009154441475e-08,3.2326315846376026e-08,40000
81,4.557033861374293e-08,3.248402435929165e-08,3.173195750605373e-08,40000
