episode,grad_norm,grad_M,grad_F,n_obs
29,3.0043224796827423e-08,2.5582984619632043e-08,1.5677750653253497e-08,39613
30,2.39147102121251e-08,2.0356008434418985e-08,1.2502797019919852e-08,39678
31,1.8613912189380244e-08,1.5843570011497832e-08,9.734801409422287e-09,39817
32,1.4725816122052038e-08,1.2546578886940551e-08,7.681601132958349e-09,39883
33,1.1576566372184516e-08,9.87175141631269e-09,6.024418297556622e-09,39917
34,9.049324845022966e-09,7.717861016942607e-09,4.707006340254338e-09,39941
35,6.9947887482157975e-09,5.965663962825829e-09,3.637051104732336e-09,39948
36,5.5106865737286626e-09,4.702770173281578e-09,2.859122716358797e-09,39971
37,4.337479264648891e-09,3.7056044899230756e-09,2.2415000966446996e-09,39977
38,3.4247307212353917e-09,2.926179520912342e-09,1.767763824211954e-09,39979
39,2.6497197769259632e-09,2.26535634695324e-09,1.363518520314244e-09,39995
40,2.085831063425303e-09,1.7829995258011875e-09,1.0725016430512824e-09,39994
41,1.6338508324054144e-09,1.3983234570247303e-09,8.359646863631554e-10,39996
42,1.2901578694268776e-09,1.105435520898368e-09,6.569300103898e-10,39997
43,1.011723149701993e-09,8.675978824257412e-10,5.130684765930481e-10,39999
44,7.926213574371842e-10,6.804158902973255e-10,4.001729780878094e-10,39999
45,6.273198072115348e-10,5.392586377439557e-10,3.1469243877424447e-10,40000
46,4.916476115113254e-10,4.2327719107504436e-10,2.4508622908925304e-10,40000
47,3.852157204331519e-10,3.323114561304408e-10,1.9013030039261023e-10,40000
48,3.059810460559476e-10,2.6458008006713385e-10,1.4923212665607366e-10,40000
49,2.4101332041226437e-10,2.0874056649855527e-10,1.1647452446972295e-10,40000
50,1.9095795777968047e-10,1.657566861545945e-10,9.166636893986889e-11,40000
51,1.5023285393489516e-10,1.3058222558814947e-10,7.187954398357732e-11,40000
52,1.1807549382680804e-10,1.0279519596645413e-10,5.625845622692083e-11,40000
53,9.279501472780892e-11,8.082045449553377e-11,4.4273498062130656e-11,40000
54,7.325659523438333e-11,6.370245303477516e-11,3.5222842004190014e-11,40000
55,5.8172116429444636e-11,5.0520639754969565e-11,2.811625585130706e-11,40000
56,4.576357348629045e-11,3.9652604116868766e-11,2.231811610520218e-11,40000
57,3.616788812887961e-11,3.125892947264397e-11,1.7801213628154677e-11,40000
58,2.864980301608977e-11,2.469354581924321e-11,1.4236516479582127e-11,40000
59,2.271886845317539e-11,1.956491912924463e-11,1.1324599244466604e-11,40000
60,1.7769036242398784e-11,1.5293330837828908e-11,8.893348731053852e-12,40000
61,1.3829788876595916e-11,1.1907687509638e-11,6.919860517928811e-12,40000
62,1.0969387724546475e-11,9.450072668837349e-12,5.480364859838938e-12,40000
63,8.632692651000529e-12,7.441893455639725e-12,4.30672424805989e-12,40000
64,6.876017116796973e-12,5.927185391801926e-12,3.434821871373117e-12,40000
65,5.341567032440819e-12,4.606809725360428e-12,2.6633322283697858e-12,40000
66,4.187257311716319e-12,3.613110461861413e-12,2.0841217206885032e-12,40000
67,3.2833039672469644e-12,2.8344681202857602e-12,1.632053108109599e-12,40000
68,2.597727588593557e-12,2.2424063474135725e-12,1.2902298587164074e-12,40000
69,2.0411795084024357e-12,1.7607181988441025e-12,1.0154773072770797e-12,40000
70,1.5969843720001209e-12,1.377414024852919e-12,7.930245002341074e-13,40000
71,1.260312167128408e-12,1.0860345825772222e-12,6.266100377287642e-13,40000
72,9.928829676833506e-13,8.545189295744439e-13,4.939734602263379e-13,40000
73,7.784839396382527e-13,6.691509325806866e-13,3.881343759847694e-13,40000
74,6.112207636722877e-13,5.240117150959178e-13,3.056433415821874e-13,40000
75,4.744593932147489e-13,4.05625457267772e-13,2.380176676412827e-13,40000
76,3.7621660886437435e-13,3.2007651195285763e-13,1.9031616018370945e-13,40000
77,2.955657637040976e-13,2.507112627312541e-13,1.5028303850927321e-13,40000
78,2.309052742847234e-13,1.9496275253938489e-13,1.1836916809140202e-13,40000
79,1.78351040533431e-13,1.5003654514535866e-13,9.199792891465692e-14,40000
80,1.409651339883897e-13,1.1780718544782134e-13,7.363666019175388e-14,40000
81,1.1089675862720541e-13,9.224306024959233e-14,5.846747917629194e-14,40000
