episode,grad_norm,grad_M,grad_F,n_obs
33,4.279746690372122e-07,4.116369041184953e-07,1.1627479779008355e-07,40000
34,4.0902193632064165e-07,3.933481309559284e-07,1.1134343225194244e-07,40000
35,3.903492995505076e-07,3.754858539650741e-07,1.0593752364229658e-07,40000
36,3.727687385435274e-07,3.585257104532502e-07,1.0130472105629452e-07,40000
37,3.569358852928417e-07,3.431675281717617e-07,9.74596900960023e-08,40000
38,3.436121289723815e-07,3.303595690340444e-07,9.380368481970437e-08,40000
39,3.287322840606066e-07,3.1601462069374975e-07,8.98949323868692e-08,40000
40,3.133473853722535e-07,3.010165983141633e-07,8.645777427318536e-08,40000
41,2.9894468411839625e-07,2.8689171926998824e-07,8.35448403790906e-08,40000
42,2.8543334451569535e-07,2.738137823143916e-07,8.01894586288654e-08,40000
43,2.724648027196963e-07,2.613964227293764e-07,7.64794663155044e-08,40000
44,2.627963340273709e-07,2.522459112697107e-07,7.33245144601824e-08,40000
45,2.518307553600607e-07,2.419590146018891e-07,6.941300512153249e-08,40000
46,2.4660297981427e-07,2.3718355635082847e-07,6.707178812348502e-08,40000
47,2.3751832145535445e-07,2.2860533022139867e-07,6.400885155244397e-08,40000
48,2.274621806463984e-07,2.1902656044403562e-07,6.09243144822358e-08,40000
49,2.197341046894508e-07,2.11657450677194e-07,5.854896656387609e-08,40000
50,2.114235684302912e-07,2.0363296471259678e-07,5.6372147838601456e-08,40000
51,2.0135178147029364e-07,1.9391220007491938e-07,5.3725855764241714e-08,40000
52,1.927063379980609e-07,1.8546742808212002e-07,5.182178597351594e-08,40000
53,1.8351491348767013e-07,1.7650323513862534e-07,4.9743992036610514e-08,40000
54,1.746072513242325e-07,1.6789084611446017e-07,4.7450978257757015e-08,40000
55,1.6571536320952873e-07,1.5928702623568824e-07,4.517289653449552e-08,40000
56,1.5838847389204602e-07,1.5226714822347279e-07,4.303018741325104e-08,40000
57,1.5199827885226116e-07,1.4619087096434669e-07,4.0998266115366284e-08,40000
58,1.4657445035481945e-07,1.4101416923040233e-07,3.932638037440484e-08,40000
59,1.411587504662748e-07,1.358806542839375e-07,3.753643795789685e-08,40000
60,1.349378351278574e-07,1.2995643317026406e-07,3.5596986691643906e-08,40000
61,1.2979140251445642e-07,1.249908052614046e-07,3.4214814093047614e-08,40000
62,1.232687196761617e-07,1.187006120062506e-07,3.253994051988229e-08,40000
63,1.1798342569591115e-07,1.1361257890030175e-07,3.114324087505338e-08,40000
64,1.1388091536446154e-07,1.0970462938075799e-07,2.9899045017600656e-08,40000
65,1.0927311677733088e-07,1.0525540261596689e-07,2.8745638758209683e-08,40000
66,1.0504713543468824e-07,1.0117691573441336e-07,2.767937345993232e-08,40000
67,1.011820174312561e-07,9.747511597879567e-08,2.6592188007157347e-08,40000
68,9.805854972455565e-08,9.44892661891572e-08,2.5683524640385258e-08,40000
69,9.485417962196153e-08,9.139117196355073e-08,2.4881394722342524e-08,40000
70,9.328807237807268e-08,8.987056077103261e-08,2.4509004603601173e-08,40000
71,8.956943986504484e-08,8.631377568235622e-08,2.3427512374496476e-08,40000
72,8.633146109104929e-08,8.320125033378646e-08,2.2530313614765877e-08,40000
73,8.30436803767043e-08,7.999744866538094e-08,2.1803328920100284e-08,40000
74,8.01004560457841e-08,7.713942551390573e-08,2.1107256387153942e-08,40000
75,7.71474262251104e-08,7.429079573739727e-08,2.0332056038796512e-08,40000
76,7.477946439848894e-08,7.20230843853642e-08,1.9645176152494063e-08,40000
77,7.279594171905046e-08,7.010143576735572e-08,1.9165529607789722e-08,40000
78,7.014602942945204e-08,6.75456064413993e-08,1.846536967775592e-08,40000
79,6.77978704288762e-08,6.526114759708436e-08,1.7925835038568042e-08,40000
80,6.544787112261474e-08,6.296810539652142e-08,1.7422038922632055e-08,40000
81,6.297688059930806e-08,6.057211976440159e-08,1.6840818517493972e-08,40000
