episode,grad_norm,grad_M,grad_F,n_obs
46,1.5513829509927748e-07,1.8750428765201832e-08,1.539209364409544e-07,40000
47,1.4681933180327178e-07,1.7567105103921676e-08,1.4569651796136898e-07,40000
48,1.4012790927608878e-07,1.6914103895260272e-08,1.3904003992593061e-07,40000
49,1.3353356109746528e-07,1.613261879640504e-08,1.3249602659470838e-07,40000
50,1.271359764132285e-07,1.5379253426317522e-08,1.261471282987259e-07,40000
51,1.2098416846129112e-07,1.4734310660458051e-08,1.2003353333511768e-07,40000
52,1.153918702812007e-07,1.4003449066990472e-08,1.1449552772546669e-07,40000
53,1.1047334425029477e-07,1.3317365876730491e-08,1.096276704970478e-07,40000
54,1.0581096887563036e-07,1.2595325671327371e-08,1.0502189695671404e-07,40000
55,1.0148013274147161e-07,1.2125449977418157e-08,1.0071845935044621e-07,40000
56,9.694571190266289e-08,1.1610568506625896e-08,9.621656715808059e-08,40000
57,9.258374689125048e-08,1.1371294128537102e-08,9.18538844985051e-08,40000
58,8.810122409386167e-08,1.1128660659665002e-08,8.7369429024875e-08,40000
59,8.36049522945359e-08,1.0906487268869114e-08,8.286518493605399e-08,40000
60,7.93097214568661e-08,1.0729310773172074e-08,7.855734196482446e-08,40000
61,7.528467449446907e-08,1.041083574904178e-08,7.454085704239334e-08,40000
62,7.232285526015404e-08,1.0086628421390742e-08,7.159383130783682e-08,40000
63,6.950440933906067e-08,9.720465321549911e-09,6.879868408304901e-08,40000
64,6.610823533037546e-08,9.313036564151387e-09,6.54246363751554e-08,40000
65,6.358710180620619e-08,9.094260455810854e-09,6.290797216479406e-08,40000
66,6.09094641390584e-08,8.719105437648977e-09,6.025555876476575e-08,40000
67,5.890111864914616e-08,8.355335978649236e-09,5.8276370396015416e-08,40000
68,5.6506561207925194e-08,8.031460829727166e-09,5.590232277086216e-08,40000
69,5.39182458680898e-08,7.674000990220975e-09,5.3335330818526934e-08,40000
70,5.191914453916979e-08,7.445816851969766e-09,5.134739211598571e-08,40000
71,5.008684311746948e-08,7.121938594423227e-09,4.9540069824161044e-08,40000
72,4.85447060327715e-08,6.8407768338829555e-09,4.8021504994721915e-08,40000
73,4.7152358462199124e-08,6.614615077893404e-09,4.6649475393678586e-08,40000
74,4.547402099319697e-08,6.276069441923937e-09,4.500089545445008e-08,40000
75,4.45561383344284e-08,6.100821181576066e-09,4.4097792084585314e-08,40000
76,4.315102941632176e-08,5.796349622499974e-09,4.271969800129227e-08,40000
77,4.212833815131489e-08,5.537868386085165e-09,4.1720333854300407e-08,40000
78,4.100551365127103e-08,5.258525614948439e-09,4.0621898733661517e-08,40000
79,4.0067813955602105e-08,5.032588568099072e-09,3.970511741613336e-08,40000
80,3.901448053511558e-08,4.84756856877766e-09,3.8666680524102055e-08,40000
81,3.7883310710640223e-08,4.7458916796472295e-09,3.7542722708394656e-08,40000
