episode,grad_norm,grad_M,grad_F,n_obs
48,1.4774086309898848e-07,1.1269245447920186e-07,9.541843581928333e-08,40000
49,1.420996227352589e-07,1.0750714807272745e-07,9.269997747196612e-08,40000
50,1.372462321569401e-07,1.0290446539329424e-07,9.049492888379973e-08,40000
51,1.3301210799454566e-07,9.802578659900973e-08,8.944140006406087e-08,40000
52,1.2868146370692557e-07,9.447685300756349e-08,8.690642516739899e-08,40000
53,1.2359376455606252e-07,9.058737049372213e-08,8.365138626231784e-08,40000
54,1.1871878768943135e-07,8.731429801400736e-08,8.007828711242837e-08,40000
55,1.1383228581962614e-07,8.378574989365006e-08,7.674486113273815e-08,40000
56,1.0939429984091477e-07,8.059802070192745e-08,7.369482801777849e-08,40000
57,1.0467679345538273e-07,7.712245775337578e-08,7.054860162725164e-08,40000
58,1.0105777903390845e-07,7.440478100306791e-08,6.81773144606268e-08,40000
59,9.759378372109496e-08,7.191219708602149e-08,6.579359990155353e-08,40000
60,9.37151938273928e-08,6.90736925434976e-08,6.317628731267177e-08,40000
61,9.065434625199489e-08,6.681938913288833e-08,6.111883266157747e-08,40000
62,8.811733920310871e-08,6.492901150068064e-08,5.943623904158813e-08,40000
63,8.604067147643947e-08,6.329901225399226e-08,5.8144966175177615e-08,40000
64,8.391695871523552e-08,6.163426036209786e-08,5.6825673055982406e-08,40000
65,8.163427622775998e-08,5.998836627441051e-08,5.52520695862313e-08,40000
66,7.916352728898347e-08,5.820354687102736e-08,5.355585486199743e-08,40000
67,7.706542959340369e-08,5.663262570010375e-08,5.216865162083195e-08,40000
68,7.494749354464147e-08,5.509647138524088e-08,5.0715986077420894e-08,40000
69,7.298651638620869e-08,5.3566914459679544e-08,4.948454446207506e-08,40000
70,7.116832279052687e-08,5.218245746618778e-08,4.8306731059710735e-08,40000
71,6.955961850962923e-08,5.0882807300922657e-08,4.7341831788116906e-08,40000
72,6.822271103601453e-08,4.973389522433536e-08,4.660763508468335e-08,40000
73,6.649936779012934e-08,4.8455262913194026e-08,4.545553977663985e-08,40000
74,6.528541973693791e-08,4.7488260435102354e-08,4.4712763269672e-08,40000
75,6.413283415440675e-08,4.656932972579853e-08,4.4006092991821795e-08,40000
76,6.292025034326798e-08,4.570140177406756e-08,4.3160522267271524e-08,40000
77,6.158514764820211e-08,4.461737646010988e-08,4.2362596985867647e-08,40000
78,6.037745947651274e-08,4.35860059155857e-08,4.168675005189471e-08,40000
79,5.976926331641154e-08,4.3041833208690157e-08,4.13687750722147e-08,40000
80,5.88918105393077e-08,4.2181987680578465e-08,4.0989771576960266e-08,40000
81,5.754905174626401e-08,4.102372841430224e-08,4.025462985168815e-08,40000
