episode,pg_rawlsian_maximin_mean,pg_rawlsian_maximin_std,pg_fairness_lagrangian_mean,pg_fairness_lagrangian_std,pg_social_welfare_mean,pg_social_welfare_std,sac_rawlsian_maximin_mean,sac_rawlsian_maximin_std,sac_fairness_lagrangian_mean,sac_fairness_lagrangian_std,sac_social_welfare_mean,sac_social_welfare_std
12,0.0024648985930822,4.2500152362899224e-05,0.0025159677299168,9.534023108952933e-05,0.0024523403491554,6.514439036430884e-05,0.0022623961713873,2.0886784425821075e-05,0.0015869670828365,8.982140358237446e-05,0.0018467810349149,4.68127555046226e-05
13,0.0024595823527965,3.959107141462036e-05,0.0025204793057331,9.347105374460142e-05,0.0024493522945032,6.607040945277165e-05,0.0022642708838073,2.0926191614973948e-05,0.0015873705083972,8.599827911254685e-05,0.0018379553442024,4.551008978964683e-05
14,0.0024614220633883,4.0032106841566816e-05,0.0025310438213053,9.688978223905332e-05,0.0024512424687938,6.735114586992862e-05,0.002274749349546,1.8570466263171946e-05,0.0015919055603532,8.471058322093047e-05,0.0018381445140964,4.609352987908626e-05
15,0.002454058293485,4.231774802548051e-05,0.002533927773791,9.86406589501038e-05,0.0024436417797908,6.492044807081062e-05,0.0022732845068258,1.4500183795310128e-05,0.0015937616570371,8.172479356787819e-05,0.0018276687085632,4.955840278733044e-05
16,0.002452060438514,4.1823700043831594e-05,0.0025422256995051,9.93570807786865e-05,0.002443069454359,6.375045779985102e-05,0.0022792217016519,1.7331370947485145e-05,0.0015992590199634,8.1187452073595e-05,0.001825663204947,4.979107284027692e-05
17,0.0024509717970459,4.0594875203274475e-05,0.0025485959395114,0.0001073952553316,0.0024410963648174,6.61854592199163e-05,0.0022829820866897,2.06795046798541e-05,0.0016031813573226,7.814705536079124e-05,0.0018229251258355,5.504923999036692e-05
18,0.0024503361155793,3.6833063495912214e-05,0.002554737474785,0.0001133565999415,0.0024403740754662,6.515383597554044e-05,0.00228656061995,1.813430076085295e-05,0.0016091995030035,7.352645597900481e-05,0.0018213386104922,5.712795500117396e-05
19,0.0024442501796268,3.986025011167847e-05,0.0025623954361615,0.0001183426303872,0.0024351492037368,6.54443802071731e-05,0.0022863191374061,2.0627240746868974e-05,0.0016160814784397,7.169302834339151e-05,0.0018175802448469,5.9917395717376614e-05
20,0.0024395664744895,4.06766633096152e-05,0.0025641032867927,0.0001254661655884,0.0024286788962596,6.796427663223292e-05,0.0022855643926373,2.261834886114466e-05,0.0016222845917372,6.988181637985526e-05,0.0018131228010597,6.072032172342677e-05
21,0.0024382359793374,4.2011406734905855e-05,0.0025706054520805,0.0001321008308159,0.0024261126523306,6.953392969493594e-05,0.0022889123503087,2.4662430996623917e-05,0.0016295395747516,6.850567863488263e-05,0.0018109935901393,6.0563660553800944e-05
22,0.0024363076202526,4.189759292219437e-05,0.0025784226348744,0.0001383765872114,0.0024244956247178,7.03027093639663e-05,0.0022924328955428,2.428749232015636e-05,0.0016371932492079,6.956335612392839e-05,0.0018085775307811,6.072302404947056e-05
23,0.0024331490027301,4.113503621000011e-05,0.0025857892381072,0.0001459802808871,0.002422225780177,6.710683797019995e-05,0.0022947781576072,2.3191423664453592e-05,0.0016442888739309,6.952923426813849e-05,0.0018051540923753,6.169022610168645e-05
24,0.0024308871699447,3.902023619890273e-05,0.0025922156380521,0.000152573084392,0.0024203805556209,6.595708131963225e-05,0.0023003279077309,2.215015896106896e-05,0.0016541774981294,6.818848597501384e-05,0.0018046174333429,6.0466026642210926e-05
25,0.0024289341553046,4.003817852221262e-05,0.0025965586409721,0.0001594095026212,0.0024172631959636,6.632127132053026e-05,0.0023008016727284,2.2057829098901464e-05,0.0016604604053595,6.465516020008998e-05,0.0018051318488231,5.900537987684262e-05
