episode,pg_rawlsian_maximin_mean,pg_fairness_lagrangian_mean,pg_social_welfare_mean,sac_rawlsian_maximin_mean,sac_fairness_lagrangian_mean,sac_social_welfare_mean
22,1.917835421929281,1.9201095265793635,1.9367136786998382,1.937792084322894,1.9565051519789363,1.9537615554303156
23,1.9234190194073024,1.9254304964159445,1.9407288970303922,1.9416427402883116,1.9580168048942792,1.9589122819731695
24,1.9255258140205491,1.928042095424441,1.9434705993541121,1.9399587601096162,1.956137923239266,1.9564724635910422
25,1.9278525499878587,1.930934458396001,1.945300522452999,1.9438991006445605,1.9607598775181416,1.9579199358854606
26,1.936267552266105,1.9399000425469928,1.9533759830958546,1.9501778451384657,1.9637457391745794,1.9606337118816055
27,1.940483223358338,1.9442397818977653,1.9559509639766108,1.955455062582081,1.9669028017230754,1.9621625674402412
28,1.9458321766265239,1.9507950677804533,1.9623132898607525,1.95801080920454,1.9696148828451236,1.967260859744203
29,1.9530019257617883,1.9584654722062242,1.9703233338342478,1.9652360687363972,1.9734010017274604,1.972494765500216
30,1.9605443475226276,1.9632595940357458,1.9772407074818374,1.9676789119464873,1.9780995396651566,1.973258256583788
31,1.9651031127660596,1.9678333167132043,1.9823940744064887,1.9699793638440202,1.97996396939005,1.9765097117218013
32,1.9727363221855512,1.9745254736431441,1.989807150556502,1.9733147293331954,1.9817033069018988,1.9802414449065429
33,1.9779331832364837,1.9806294483646456,1.9949473713900978,1.9763935776825956,1.982956926237143,1.9851278887978503
34,1.983641413347617,1.9874259965009795,2.000621491336683,1.9794473955714105,1.988701174054106,1.9902082666134902
35,1.9897250735601426,1.9924118585199118,2.0057669716172923,1.9845582904588184,1.9933410037014416,1.994017810740959
36,1.9949575990881456,1.9982791305276169,2.0121021303790445,1.9878838770685725,1.996074732967378,1.9973687508186342
37,2.0004009003542396,2.0045132854335193,2.0190679177850823,1.989975899287248,1.9995981037260981,1.9996727900378117
38,2.0070126426097756,2.0108356264985097,2.024124051218931,1.99444469824585,2.004051396203117,2.005850912062578
39,2.0126051777421083,2.0174158298222054,2.0302936830673457,1.9993335915868622,2.005799657451524,2.009466254514167
40,2.0168221070446437,2.021349733347988,2.0349282334480256,2.0038171665810927,2.0103349012641334,2.0154295499124544
41,2.02219692932319,2.026644583411624,2.0405612053380584,2.00836124735022,2.015236871744808,2.0188831096690203
42,2.027745941740703,2.0326409784698045,2.04653949672177,2.011972373979667,2.018419785720386,2.022184865702305
43,2.0343619422841783,2.0395574673428185,2.052507957823376,2.0180254565487616,2.0231590617632143,2.02789261383004
44,2.0395346965336585,2.045909579546272,2.0588628049154436,2.022105973336485,2.027144855057849,2.031243575136414
45,2.0453695211247687,2.0517542942803475,2.064845246495388,2.026440495743267,2.0303917042612847,2.0356728244067193
46,2.0509331175683276,2.0577158841477776,2.069869821901593,2.0305437289447847,2.034602206637516,2.039568632606631
47,2.0564709398009393,2.0633215749623055,2.075215145663196,2.0347516817737707,2.0384953415741913,2.042770807402204
48,2.063459933977344,2.0697473780414755,2.0816000224490714,2.039312770924635,2.042887272787521,2.046049654862989
49,2.0695023042389527,2.0768208410821307,2.087709654409127,2.04402616944006,2.0450996843776803,2.0489439253502177
50,2.0758993374107475,2.0829860277110654,2.094391094952082,2.047907995263552,2.046345408210398,2.0517959491470847
51,2.0824298481128585,2.089972686878219,2.1007159824694503,2.050760909338289,2.0507810731074416,2.056060762602345
52,2.0898609286344234,2.097956561857552,2.107575163029334,2.0549633878498557,2.0547864200261743,2.0595934916492675
53,2.0953008967178124,2.103803182805967,2.1134117416475404,2.0593441036063425,2.059741916664739,2.065661041543719
54,2.1017731898422567,2.1098555971405952,2.119897718204791,2.0640812121423293,2.0623106903718162,2.069538509089949
55,2.109025482512825,2.1168553933311713,2.1265752330812493,2.068326185128051,2.0658618755911458,2.0734817738637106
56,2.115101409567048,2.1233789560103853,2.133810873503815,2.0730469767216864,2.0690327538493896,2.076225117166186
57,2.121274714159776,2.130261186621764,2.1401251812536883,2.077592521096064,2.0732683308577933,2.079785681941732
