episode,pg_rawlsian_maximin_mean,pg_rawlsian_maximin_std,pg_fairness_lagrangian_mean,pg_fairness_lagrangian_std,pg_social_welfare_mean,pg_social_welfare_std,sac_rawlsian_maximin_mean,sac_rawlsian_maximin_std,sac_fairness_lagrangian_mean,sac_fairness_lagrangian_std,sac_social_welfare_mean,sac_social_welfare_std
11,5021.7082424320115,1900.3445227209177,5628.7188464942565,1327.9357481195827,4481.787045575915,1177.149144817306,13583.86106128646,2315.5052426774446,14957.954674074328,1443.102003836818,15191.220548137568,1503.5641508281074
12,5793.6552590392785,2157.9397662595943,6334.0612431685495,1313.455528673712,4744.143373771925,1249.6789686627276,15247.92443686099,2436.929890331808,16584.607285595244,1691.277446260627,16896.5782516567,1349.0101722322472
13,6141.336329963923,2194.2490079009185,7164.3661590272095,1646.9449525422676,4889.507463299064,1345.452217156083,16728.605111526216,2593.167589250907,18334.007424449293,1688.6144778435764,18427.113537094185,1455.700431690788
14,6836.319347318355,2345.196857853407,7737.875268097161,1500.2336676475195,5227.1960933741975,1329.4723253489938,18268.781730765888,2596.454503223331,19841.316994668316,1788.3907400515602,19995.465961243208,1365.2624714904953
15,7459.630680078716,2547.0182948653724,8250.174866396306,1744.0711491541608,5666.67927034038,1765.5149471370112,19741.968767587976,2770.3494660731467,21134.01247112934,1873.571155502511,21532.684521070467,1230.9447460725978
16,7918.101391673595,2603.0234180556754,8813.774994479229,1757.9956986832942,6234.843493417104,1738.9846642587513,20960.59603941451,3069.406848800116,22686.911922594325,1947.057980397347,23293.35175095392,1189.0048478076358
17,8375.634892834065,2766.4241453216146,9584.501822721231,1707.663257781851,6423.602528174051,2087.007775651265,22395.73381733409,3388.151256720287,24378.26945973069,2068.9710888172385,24843.374915087312,1226.724503381052
18,8742.370278338574,2915.8051177657926,9851.052739548157,1641.715169704547,6970.322935924119,2082.937565122489,23853.50391553444,3602.4888571482547,26025.161330648258,2035.8332623437943,26182.099073540696,1200.9444520558636
19,9226.149012628575,2983.6898249564456,10219.838142324255,1965.1469245461765,7281.060622728673,2582.7256264853777,25161.76500030518,3979.285944381279,27667.330894000188,2038.094743502029,27905.4426321854,1241.8029970926566
20,9781.80725892873,2826.801235842448,10626.471289277448,2469.190602012381,7658.952441799488,2526.415868543737,26687.795465664567,4128.302315916971,29245.790742715355,2267.0833741630936,29553.41107555438,1394.9949996961434
21,10306.642256486615,3034.8622698830454,11202.02362911856,1988.9554393652104,8334.855484202675,2321.388236587327,28014.32154808959,4352.369471903031,30585.778791119657,2403.360809779142,31367.15442034047,1279.5209757720063
22,11071.35708796248,3204.136686922799,11643.864645479542,2320.9430474865835,9255.636979735686,2553.171984901615,29795.19909822406,4728.048164165846,32027.096552133225,2691.287574058721,32802.61194070226,1424.6574989067856
23,11456.81080361554,3044.3928055270603,12175.74161137253,2281.459252597034,9830.487696594286,2700.740856784931,31375.73280867361,4812.924133236662,33615.81001859008,2666.4551254810694,34630.89353895139,1416.0717262950898
24,12064.988164074037,2922.755987695889,12649.186682140024,2203.7741770909324,10159.623113039272,2913.2989761171443,32929.5745152982,4948.673710933803,35019.859078586866,2889.078656317883,36520.36066781603,1470.2183687768656
25,12640.93069494456,3408.41107982471,13165.06395705104,2624.853026661273,10889.027509478492,3088.131088873225,34627.203943323875,5116.644697160233,36313.935028939355,2872.7446704706745,38165.63848156158,1564.065066993591
26,12908.865634500196,3090.4706012894667,13817.057060910858,2842.2863265447018,11202.531707317645,3022.5991310271465,36049.36942043171,5242.997124995279,37970.098523069886,3081.012617660172,39788.67364843347,1704.5540719542305
27,13421.238045977523,3433.5595339485544,14620.660303351247,2664.9851390650306,11606.2699964904,2744.2131905134543,37620.08378041386,5351.734054183945,39503.02371859072,3063.1898154041346,41388.97786031237,1682.582694729393
28,13998.680789182894,3307.6571227855466,15011.069297090178,2490.4212874209256,11986.452624017353,2680.873622699429,39088.902693002354,5790.063221465178,41064.4781404503,3154.453277840486,42923.03348150264,1579.4776284098623
29,14629.922916498948,3349.9109337079894,15699.85866678947,2386.6534269084964,12876.274454192857,2614.931507691904,40723.70544378957,6084.8080711284565,42608.60048283335,3341.1886219646394,44608.36503297542,2004.8067351573363
