episode,grad_norm,grad_M,grad_F,n_obs
51,2.2497852114611305e-07,2.0680951706708586e-07,8.646939164691504e-08,40000
52,2.1767532132344058e-07,1.9983733068329457e-07,8.383437233305814e-08,40000
53,2.1024835916705345e-07,1.9287890040686761e-07,8.085606140184609e-08,40000
54,2.0372337417029485e-07,1.866672931782887e-07,7.851318173379697e-08,40000
55,1.9680736329519282e-07,1.801660545197592e-07,7.592525719246623e-08,40000
56,1.9042855115003482e-07,1.7420281039903784e-07,7.356824482940284e-08,40000
57,1.84137647352145e-07,1.6826422211124736e-07,7.15494223868518e-08,40000
58,1.7766599569313257e-07,1.6227184573835984e-07,6.926305928800502e-08,40000
59,1.7218235370819457e-07,1.570191301425439e-07,6.785823813970637e-08,40000
60,1.662767488141981e-07,1.516364704912121e-07,6.560836141034089e-08,40000
61,1.6071669506345645e-07,1.4663311276308377e-07,6.331995905384248e-08,40000
62,1.5543406561846498e-07,1.4205593856786436e-07,6.069673474939918e-08,40000
63,1.5028805933070546e-07,1.3756186945101945e-07,5.820004034262639e-08,40000
64,1.455401417160829e-07,1.333754084953398e-07,5.591214247147037e-08,40000
65,1.4076714194288797e-07,1.2922612313559514e-07,5.3498993679568236e-08,40000
66,1.3612284988084866e-07,1.2512911951034766e-07,5.1284022362096955e-08,40000
67,1.3203982973664097e-07,1.21485101090002e-07,4.94135008466401e-08,40000
68,1.2791967662906245e-07,1.1777433428505901e-07,4.761172078815434e-08,40000
69,1.239487801285577e-07,1.1427083279613727e-07,4.576437007131062e-08,40000
70,1.200025252501291e-07,1.107660239085817e-07,4.395270281065677e-08,40000
71,1.1621295925579035e-07,1.0745225154096261e-07,4.2083033946482835e-08,40000
72,1.1268824096077878e-07,1.042746973212161e-07,4.056641600413968e-08,40000
73,1.0936354755131107e-07,1.0129841143680097e-07,3.912667168037842e-08,40000
74,1.0589759114054689e-07,9.825333080470956e-08,3.7419937370941625e-08,40000
75,1.0281826945401917e-07,9.547176205160213e-08,3.6099628175634286e-08,40000
76,9.958154123523857e-08,9.2590731526343e-08,3.4590442510307184e-08,40000
77,9.691618885199205e-08,9.013908908173109e-08,3.3544555577691426e-08,40000
78,9.417926349897245e-08,8.770829396098635e-08,3.230172396229136e-08,40000
79,9.162037173382488e-08,8.537745799230835e-08,3.125789405089563e-08,40000
80,8.909616155960975e-08,8.308447263516427e-08,3.0242684800896313e-08,40000
81,8.656753891500557e-08,8.082566438361027e-08,2.9130809764410518e-08,40000
