episode,grad_norm,grad_M,grad_F,n_obs
55,9.199790724778724e-07,3.4258681580467965e-07,8.503953949912102e-07,40000
56,8.807257927401224e-07,3.2312058806383e-07,8.157392130669905e-07,40000
57,8.444555987807689e-07,3.047933034849848e-07,7.838991677999729e-07,40000
58,8.097609338619804e-07,2.8647087901845225e-07,7.534674182352319e-07,40000
59,7.772182470944244e-07,2.706324266910088e-07,7.2452866106687e-07,40000
60,7.474446306332538e-07,2.5562664518474776e-07,6.98122278208757e-07,40000
61,7.185771551121434e-07,2.416471147625998e-07,6.722983698637108e-07,40000
62,6.920114969943825e-07,2.289507250452516e-07,6.484908681159141e-07,40000
63,6.66941161853174e-07,2.1706058817017043e-07,6.260223699428025e-07,40000
64,6.430070129681553e-07,2.0542144341106905e-07,6.045439704394084e-07,40000
65,6.221627018021536e-07,1.947898056187114e-07,5.860613896402356e-07,40000
66,6.014411155774724e-07,1.8460285389210185e-07,5.674123144672194e-07,40000
67,5.81488563966559e-07,1.7577572464233526e-07,5.492274794960395e-07,40000
68,5.627815653497237e-07,1.659917643337394e-07,5.324621952240705e-07,40000
69,5.452627647173358e-07,1.5795168906151957e-07,5.164328626960923e-07,40000
70,5.299968393046584e-07,1.5114810025806946e-07,5.025738687436387e-07,40000
71,5.149161665940483e-07,1.446314570330287e-07,4.888833586846886e-07,40000
72,5.011177108826814e-07,1.3754234373664076e-07,4.7654123136453563e-07,40000
73,4.863217100137263e-07,1.318457947263596e-07,4.628193153166649e-07,40000
74,4.733044534077635e-07,1.2583767272644766e-07,4.510002611368691e-07,40000
75,4.607306323123339e-07,1.2014174899377394e-07,4.39649966210709e-07,40000
76,4.47849458851124e-07,1.150721686826728e-07,4.27708670258653e-07,40000
77,4.362788388334593e-07,1.100034126011451e-07,4.171810985553748e-07,40000
78,4.2376666442578426e-07,1.0525415206075198e-07,4.055916349443578e-07,40000
79,4.125817270050902e-07,1.0004622197357095e-07,3.9539543195132875e-07,40000
80,4.0220641039923066e-07,9.557062696785581e-08,3.859213677515072e-07,40000
81,3.926831197986758e-07,9.09692161599196e-08,3.773203616219689e-07,40000
