episode,grad_norm,grad_M,grad_F,n_obs
44,3.073158723054803e-07,2.021625817860695e-07,2.2750563744011745e-07,40000
45,2.972546724322456e-07,1.9453979405170685e-07,2.2098075191934186e-07,40000
46,2.884640935008065e-07,1.8817966918049933e-07,2.150780744614167e-07,40000
47,2.792379802940559e-07,1.818117709717626e-07,2.0862310634583994e-07,40000
48,2.7110442601951945e-07,1.76314387090315e-07,2.027800007908809e-07,40000
49,2.6339205305703217e-07,1.7164582288842214e-07,1.968170266763991e-07,40000
50,2.5589071128706564e-07,1.6617821074760286e-07,1.9169068821156546e-07,40000
51,2.485024026555039e-07,1.6153691717590848e-07,1.8606655771691294e-07,40000
52,2.4172970825020457e-07,1.573975367819003e-07,1.807904084216716e-07,40000
53,2.3519280034634e-07,1.531527971110336e-07,1.758905341375794e-07,40000
54,2.2865035020913643e-07,1.493613552838724e-07,1.7059147694453713e-07,40000
55,2.229217841431819e-07,1.4571931217233216e-07,1.6618857046069024e-07,40000
56,2.172455708659982e-07,1.4232961120796972e-07,1.6168125682725076e-07,40000
57,2.1183127785207037e-07,1.3904028151046077e-07,1.5741505876576414e-07,40000
58,2.0647975418341963e-07,1.360715344844721e-07,1.5293704791474738e-07,40000
59,2.0170260484064786e-07,1.3307685264862812e-07,1.491922603236162e-07,40000
60,1.9707778164956838e-07,1.301857821545127e-07,1.4558818861587497e-07,40000
61,1.923091303979163e-07,1.2736495591525454e-07,1.4173724594002124e-07,40000
62,1.8758316855382878e-07,1.2474329480482993e-07,1.377964480298033e-07,40000
63,1.8281969005329304e-07,1.2175624419796804e-07,1.341279158850739e-07,40000
64,1.7827927933922186e-07,1.1880245409656709e-07,1.307457182520011e-07,40000
65,1.733545929027969e-07,1.1564475954628507e-07,1.270209111225995e-07,40000
66,1.6842571426423095e-07,1.1236755881327555e-07,1.2344131050667786e-07,40000
67,1.6359759058559578e-07,1.09142078486002e-07,1.1991696169388888e-07,40000
68,1.586131759268028e-07,1.0582390075342121e-07,1.1625771634271589e-07,40000
69,1.5447400869561537e-07,1.0329708288736585e-07,1.1303858116207267e-07,40000
70,1.497728447930058e-07,1.00126655411259e-07,1.0954376961080925e-07,40000
71,1.455522351534455e-07,9.753509289112117e-08,1.0626220614540217e-07,40000
72,1.4179548202264416e-07,9.482444340846997e-08,1.0368363234647405e-07,40000
73,1.373697244844152e-07,9.14987836608816e-08,1.0077091872062739e-07,40000
74,1.3350651784094225e-07,8.864341793923813e-08,9.819499524610364e-08,40000
75,1.2996771658890793e-07,8.641941917630903e-08,9.553328084166425e-08,40000
76,1.265925817506286e-07,8.379086580134755e-08,9.33453492280023e-08,40000
77,1.2300587570734933e-07,8.092735725995227e-08,9.1166093341144e-08,40000
78,1.196091545807576e-07,7.819293301736252e-08,8.911290905189163e-08,40000
79,1.1610465833200578e-07,7.55333999791219e-08,8.689515595960985e-08,40000
80,1.1333299454463487e-07,7.33944816033727e-08,8.519408822849074e-08,40000
81,1.1028704705040583e-07,7.112733158010087e-08,8.321520539311679e-08,40000
