agent,constraint,reward,group,episode,gini,n_seeds
pepg,social,social_welfare,Female,500,0.13423264898967036,10
pepg,social,social_welfare,Female,1000,0.14787925879567754,10
pepg,social,social_welfare,Female,1500,0.1602128039238766,10
pepg,social,social_welfare,Female,2000,0.1825463780949913,10
pepg,social,social_welfare,Female,2500,0.20504064809968658,10
pepg,social,social_welfare,Female,3000,0.2221750679356974,10
pepg,eo,rawlsian_maximin,Male,100,0.8088841415789594,10
pepg,eo,rawlsian_maximin,Male,500,0.5138183313862182,10
pepg,eo,rawlsian_maximin,Male,1000,0.47116899555600833,10
pepg,eo,rawlsian_maximin,Male,1500,0.45651056932102985,10
pepg,eo,rawlsian_maximin,Male,2000,0.4486421788933681,10
pepg,eo,rawlsian_maximin,Male,2500,0.44373437395815263,10
pepg,eo,rawlsian_maximin,Male,3000,0.4404115656723929,10
pepg,eo,rawlsian_maximin,Female,100,0.4690806831015979,10
pepg,eo,rawlsian_maximin,Female,500,0.4187105427984663,10
pepg,eo,rawlsian_maximin,Female,1000,0.4063270995554392,10
pepg,eo,rawlsian_maximin,Female,1500,0.3998987897302988,10
pepg,eo,rawlsian_maximin,Female,2000,0.3970970906096467,10
pepg,eo,rawlsian_maximin,Female,2500,0.39660520383726205,10
pepg,eo,rawlsian_maximin,Female,3000,0.3965467643528239,10
pepg,eo,fairness_lagrangian,Male,100,0.79226342688105,10
pepg,eo,fairness_lagrangian,Male,500,0.4998964435823682,10
pepg,eo,fairness_lagrangian,Male,1000,0.45819952844643297,10
pepg,eo,fairness_lagrangian,Male,1500,0.44419300586644783,10
pepg,eo,fairness_lagrangian,Male,2000,0.4371022337697321,10
pepg,eo,fairness_lagrangian,Male,2500,0.43282991329626885,10
pepg,eo,fairness_lagrangian,Male,3000,0.4300751993367573,10
pepg,eo,fairness_lagrangian,Female,100,0.5114222307263836,10
pepg,eo,fairness_lagrangian,Female,500,0.46495300646971616,10
pepg,eo,fairness_lagrangian,Female,1000,0.45565258687054777,10
pepg,eo,fairness_lagrangian,Female,1500,0.4502376690457186,10
pepg,eo,fairness_lagrangian,Female,2000,0.4466007105829747,10
pepg,eo,fairness_lagrangian,Female,2500,0.4437293145345562,10
pepg,eo,fairness_lagrangian,Female,3000,0.44131731290937604,10
pepg,eo,social_welfare,Male,100,0.7970380660945339,10
pepg,eo,social_welfare,Male,500,0.5088992639084962,10
pepg,eo,social_welfare,Male,1000,0.4659064728058421,10
pepg,eo,social_welfare,Male,1500,0.45115154246042455,10
pepg,eo,social_welfare,Male,2000,0.4433430540542572,10
pepg,eo,social_welfare,Male,2500,0.43849948171834796,10
pepg,eo,social_welfare,Male,3000,0.4352998297136196,10
pepg,eo,social_welfare,Female,100,0.48636763649587633,10
pepg,eo,social_welfare,Female,500,0.42278975621097004,10
pepg,eo,social_welfare,Female,1000,0.4097109070160021,10
pepg,eo,social_welfare,Female,1500,0.40335557282754386,10
pepg,eo,social_welfare,Female,2000,0.4014988299674377,10
pepg,eo,social_welfare,Female,2500,0.40149763434538766,10
pepg,eo,social_welfare,Female,3000,0.40142612453669735,10
