episode,RL_mean,RL_std,PERL_mean,PERL_std,Oracle_mean,Oracle_std,Pattern Prediction_mean,Pattern Prediction_std
15,0.002533927773791,9.86406589501038e-05,0.0003354984752553,0.0007916758122147,0.0013613748138484,2.218784392663248e-05,0.0003076554390879,1.1330275817513533e-05
16,0.0025422256995051,9.93570807786865e-05,0.0003402728671977,0.0007926255809061,0.0013613114971306,2.073888093887125e-05,0.0003081507958451,1.0093810565861042e-05
17,0.0025485959395114,0.0001073952553316,0.000343211631703,0.0007895283814884,0.0013610469832128,1.9848682326727492e-05,0.000307283848276,9.108373145139096e-06
18,0.002554737474785,0.0001133565999415,0.000349034982807,0.0007916525820572,0.00136296911777,1.922844594016583e-05,0.0003083526046532,8.480250472583827e-06
19,0.0025623954361615,0.0001183426303872,0.0003537979593102,0.0007911853622787,0.001361328026527,2.0435494034182053e-05,0.0003072252985677,8.545346376846536e-06
20,0.0025641032867927,0.0001254661655884,0.0003574172162971,0.0007872055035514,0.0013589797762129,2.138563079302427e-05,0.0003064494483135,8.809158763218263e-06
21,0.0025706054520805,0.0001321008308159,0.0003634231842957,0.0007878181438689,0.0013591993283678,2.1292605288306255e-05,0.0003071179080263,8.799459764238225e-06
22,0.0025784226348744,0.0001383765872114,0.0003688468160836,0.0007855840670427,0.001357415106979,2.095041659791751e-05,0.0003065460838596,8.483150986079364e-06
23,0.0025857892381072,0.0001459802808871,0.0003748976189155,0.0007861552159547,0.0013580439812611,2.1563301357695525e-05,0.0003064279390516,7.945839744771247e-06
24,0.0025922156380521,0.000152573084392,0.0003805436397104,0.0007846738715366,0.0013593699427244,2.1657406318605077e-05,0.0003063453078241,8.060873093016166e-06
25,0.0025965586409721,0.0001594095026212,0.0003871493164715,0.0007844209873572,0.0013580470927505,2.0747574198321763e-05,0.0003061028317142,7.622712533917386e-06
26,0.0026015096600899,0.0001665423620642,0.0003931940455262,0.0007838999935039,0.0013573967774616,2.027437605031984e-05,0.000305756438538,7.173843792752172e-06
27,0.0026047812958227,0.0001724779735483,0.0004001169489201,0.0007826283536176,0.0013564182272322,2.067300604273984e-05,0.0003052315828932,6.371501530648038e-06
28,0.0026103380643771,0.0001815152175459,0.0004064116198622,0.0007805193777378,0.0013553263364375,2.07262459545168e-05,0.0003045537941947,6.029622235056842e-06
29,0.0026134899103193,0.0001871971861186,0.0004131112212412,0.0007779822867001,0.0013538937713914,2.056095881971161e-05,0.000303771792182,6.015679369226648e-06
30,0.0026184724029126,0.0001937073861126,0.0004215322651657,0.0007787952492396,0.0013526230345097,2.0373182465459893e-05,0.0003036245888528,6.037422047876958e-06
31,0.0026240015327535,0.0002008856626392,0.0004296112568279,0.0007794025836552,0.0013524720421243,2.024645226577709e-05,0.0003030344198057,5.924464406568413e-06
32,0.0026310956029378,0.0002068439711247,0.0004384295851733,0.0007809217274933,0.001352606883972,2.0572809279633743e-05,0.0003028041082165,6.403917894811782e-06
33,0.0026337492290351,0.0002133142548601,0.0004459508840044,0.0007824688733021,0.0013508080275152,2.037511629099966e-05,0.0003027082148022,6.362784006255921e-06
34,0.0026379642145565,0.0002181116486256,0.0004544476429264,0.000784603728742,0.0013482156673685,1.9461056766104725e-05,0.000301865905959,6.1221153497999005e-06
35,0.002643335877383,0.0002221959978665,0.0004622608639036,0.0007853678423727,0.0013483290420373,1.969188463176894e-05,0.0003020199230339,5.4679339557162005e-06
36,0.0026504654869246,0.0002286583421053,0.0004705522959958,0.0007857533136419,0.001348867030866,1.8193455626871173e-05,0.0003021572726453,4.874478899528215e-06
37,0.0026569702623275,0.0002326854951749,0.0004781602884518,0.0007870739727536,0.0013480019014069,1.7297007247137017e-05,0.0003013189892323,4.687797130213366e-06
38,0.0026623825131919,0.0002372605887725,0.0004865600725527,0.0007904759746717,0.0013462649088233,1.7260905066040106e-05,0.0003011248823294,4.404889687368565e-06
39,0.0026702140362622,0.0002422580034593,0.0004938993018289,0.0007926297107379,0.0013449137020938,1.6395286350797516e-05,0.0003017040692889,4.14779312755391e-06
