episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
21,1990.0,2089.5,199,74.5714143898128,75.32720326152065,59.582159703194726,60.11242172348799,0.7557888717078498,0.5302620202932644,1.4253120962535777,0.0069449856440890285,0.005657751638642436,0.006301368641365732,15.21478153803266,461,318,748,597,74,50,-862.1714931718524,0.6163101604278075,0.5326633165829145,0.8394793926247288,0.8427672955974843,8668,6838,14209,11262,1396,986,-13917.617737089862,0.6100358927440355,0.6071745693482508,0.8389478541762806,0.8558057911670078,461,318,186,61,1792,6876,4388,1153,731,6107,3957,467,0.4349356041945246,0.41626709287870717,0.2067374250115367,0.10690260310032174,0.6084889643463497,0.6101836393989983,50,17,0.08364684384489296,1.2275168808497683
22,2089.5,2189.0,199,75.32720326152065,76.01938508889859,60.11242172348799,60.7097753693745,0.6921818273779365,0.597353645886507,1.1587471377205694,0.006945513627547721,0.005673469938250286,0.006309491782899003,15.30960971952409,406,347,711,602,56,53,-430.9511353729454,0.5710267229254571,0.5764119601328903,0.8620689655172413,0.8472622478386167,9074,7185,14920,11864,1452,1039,-14308.078313640932,0.6081769436997319,0.6056136210384356,0.8399823672029976,0.855393180236604,406,347,170,64,1882,7192,4613,1233,769,6416,4186,493,0.43532171581769435,0.4176500337154417,0.2074057747410183,0.1070285316631872,0.6041733547351524,0.6093502377179081,24,19,-0.005385237207433224,1.2242091177255336
23,2189.0,2288.5,199,76.01938508889859,76.71651953097023,60.7097753693745,61.24998108839886,0.6971344420716434,0.5402057190243639,1.2904980779002118,0.006948159830794671,0.005662849645555709,0.006305504738175189,15.46653844257137,390,312,686,554,41,37,311.30038876554,0.5685131195335277,0.5631768953068592,0.8948717948717949,0.8814102564102564,9464,7497,15606,12418,1493,1076,-13999.35922191659,0.6064334230424195,0.6037204058624577,0.8422442941673711,0.8564759237028144,390,312,153,52,1975,7489,4849,1293,797,6700,4404,517,0.43726771754453414,0.41882750845546785,0.20868554522400676,0.10630919034280378,0.6043451652386781,0.606544901065449,30,16,0.005336224226668462,1.2269723311915395
24,2288.5,2388.0,199,76.71651953097023,77.37719077100793,61.24998108839886,61.796112293523734,0.6606712400377006,0.5461312051248726,1.2097298851228224,0.006935316169518972,0.005655595736590918,0.006295455953054945,15.581078477484198,396,320,680,569,61,46,-561.3265602117917,0.5823529411764706,0.562390158172232,0.845959595959596,0.85625,9860,7817,16286,12987,1554,1122,-14578.299640879826,0.605427974947808,0.6019096019096019,0.842393509127789,0.8564666751950876,396,320,159,69,2071,7789,5070,1356,837,6980,4624,546,0.4384747636006386,0.4204974204974205,0.21004056795131845,0.10707432518869131,0.6043186460461044,0.6052060737527115,28,24,0.019962783004238593,1.2262750897572894
25,2388.0,2487.5,199,77.37719077100793,78.10448838787163,61.796112293523734,62.344877722234,0.7272976168636944,0.5487654287102686,1.3253342481377146,0.0069502844742412055,0.005649981124699248,0.006300132799470227,15.759610665637624,420,326,739,610,61,49,-544.477211441556,0.5683355886332883,0.5344262295081967,0.8547619047619047,0.8496932515337423,10280,8143,17025,13597,1615,1171,-15129.744276180507,0.6038179148311307,0.5988821063469884,0.8428988326848249,0.8561955053420116,420,326,150,71,2154,8126,5322,1423,876,7267,4876,578,0.43911894273127755,0.4230344929028462,0.2095330739299611,0.10757706005157804,0.6021805982667039,0.6024759284731774,29,31,0.03390935912509152,1.2301429546122904
26,2487.5,2587.0,199,78.10448838787163,78.91007344785902,62.344877722234,62.916728634941016,0.8055850599873935,0.5718509127070135,1.4087326645575071,0.006994363235277307,0.005653722056589252,0.006324042645933279,15.993344812918004,454,357,747,600,68,61,-928.1350258904611,0.607764390896921,0.595,0.8502202643171806,0.8291316526610644,10734,8500,17772,14197,1683,1232,-16060.719780902504,0.6039837947332883,0.5987180390223287,0.8432084963666853,0.8550588235294118,454,357,150,51,2238,8496,5549,1489,903,7597,5095,602,0.43816115237452175,0.42248362330069733,0.20849636668529906,0.10623529411764705,0.6004829621679635,0.6,23,23,0.012764390896921052,1.2371254131825558
27,2587.0,2686.5,199,78.91007344785902,79.65122125396725,62.916728634941016,63.492132462460546,0.7411478061082306,0.5754038275195299,1.2880480988511935,0.00701119132543109,0.0056585083893228826,0.006334849857376986,16.159088791506704,434,343,783,593,60,50,-315.31248203277016,0.5542784163473818,0.5784148397976391,0.8617511520737327,0.8542274052478134,11168,8843,18555,14790,1743,1282,-16372.200626415957,0.6018862840204796,0.5979039891818797,0.8439290830945558,0.8550265746918466,434,343,142,73,2310,8858,5828,1559,938,7905,5307,640,0.4385879816760981,0.4222447599729547,0.20684097421203437,0.10607259979644917,0.5970535021969501,0.5944233206590621,35,30,-0.02413642345025724,1.239052916959636
28,2686.5,2786.0,199,79.65122125396725,80.38585728027526,63.492132462460546,64.0289314652339,0.7346360263080101,0.5367990027733498,1.3685495362557372,0.00702448008689111,0.005649096120132546,0.006336788103511829,16.356925815041365,453,317,804,584,80,49,-1083.0558561266735,0.5634328358208955,0.5428082191780822,0.8233995584988962,0.8454258675078864,11621,9160,19359,15374,1823,1331,-17417.98899054673,0.6002892711400383,0.5958111096656693,0.8431288185181998,0.8546943231441049,453,317,153,63,2397,9224,6113,1625,977,8183,5550,664,0.43958882173666,0.4245479380772733,0.20626452112554858,0.10665938864628821,0.595972153157633,0.5953686776355881,37,18,0.020624616642813343,1.2434697405584758
29,2786.0,2885.5,199,80.38585728027526,81.15952533321716,64.0289314652339,64.57954636249546,0.7736680529419004,0.5506148972615676,1.4050982942700372,0.007050379336343973,0.005645121014711781,0.006347750175527877,16.579978970721697,454,313,804,595,66,44,-336.94129581181306,0.5646766169154229,0.5260504201680672,0.8546255506607929,0.8594249201277955,12075,9473,20163,15969,1889,1375,-17787.549176355606,0.5988692158904925,0.5932118479554136,0.8435610766045549,0.8548506281009184,454,313,186,56,2502,9573,6382,1706,997,8476,5796,700,0.44060903635371723,0.4253866867054919,0.20720496894409937,0.10524649002427953,0.5945817490494296,0.5875073659398939,20,22,0.03862619674735568,1.2489332501411292
30,2885.5,2985.0,199,81.15952533321716,81.8272566584298,64.57954636249546,65.19460643496555,0.6677313252126424,0.6150600724700865,1.0856359485847094,0.0070390622781350675,0.005663000589755755,0.006351031433945411,16.632650223464253,393,359,742,627,65,51,-769.236372828947,0.5296495956873315,0.5725677830940988,0.8346055979643766,0.8579387186629527,12468,9832,20905,16596,1954,1426,-18515.028037335796,0.5964123415450849,0.5924319113039287,0.8432787937119025,0.8549633848657445,393,359,134,68,2576,9892,6671,1766,1037,8795,6036,728,0.44233436976799806,0.4261870330200048,0.20660891883221047,0.10547192839707079,0.5932749884845693,0.5875354107648725,26,25,-0.04291818740676734,1.2429916201789875
