episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
21,1990.0,2089.5,199,85.21783653179733,86.70088739685994,67.87620471105451,68.98839294410452,1.4830508650626086,1.1121882330500057,1.3334531161110823,0.0123882419902672,0.009905644062962382,0.01114694302661479,17.712494452755422,889,663,895,673,153,108,-2196.711856549801,0.9932960893854749,0.9851411589895989,0.8278965129358831,0.8371040723981901,15445,12075,15679,12270,2489,1761,-23872.282624447056,0.9850755787996683,0.9841075794621027,0.8388475234703787,0.8541614906832298,889,663,199,81,3334,12111,175,59,1285,10790,164,31,0.2238025384271956,0.11809290953545232,0.21586273875040465,0.10641821946169772,0.9826112584733274,0.9764437689969605,56,55,0.008154930395876003,1.2506245844818265
22,2089.5,2189.0,199,86.70088739685994,88.11329367775409,68.98839294410452,70.15314990561197,1.412406280894146,1.1647569615074502,1.2126188789343515,0.012470369081570334,0.00998748297444831,0.01122892602800932,17.960143772142118,852,674,861,682,145,91,-1132.4281961411268,0.9895470383275261,0.9882697947214076,0.82981220657277,0.8649851632047478,16297,12749,16540,12952,2634,1852,-25001.18031660333,0.9853083434099154,0.9843267449042619,0.83837516107259,0.8547337046042827,852,674,173,84,3506,12791,183,60,1369,11380,172,31,0.22303506650544136,0.11897776405188389,0.21513161931643862,0.10738097105655346,0.9831744251261918,0.9778571428571429,48,38,0.0012772436061184722,1.24859978369667
23,2189.0,2288.5,199,88.11329367775409,89.55877867700835,70.15314990561197,71.24393274665667,1.445484999254262,1.0907828410446996,1.3251812779433216,0.012559809009749496,0.010029881176365326,0.01129484509305741,18.31484593035168,858,627,870,635,119,85,-603.874930116501,0.9862068965517241,0.9874015748031496,0.8613053613053613,0.8644338118022329,17155,13376,17410,13587,2753,1937,-25635.07804879254,0.985353245261344,0.984470449694561,0.8395220052462838,0.8551883971291866,858,627,187,65,3690,13465,192,63,1434,11942,180,31,0.22297530155083287,0.11879001987193641,0.215097639172253,0.10720693779904306,0.9832134292565947,0.978839590443686,50,46,-0.001194678251425496,1.2522390633446145
24,2288.5,2388.0,199,89.55877867700835,91.06055001764096,71.24393274665667,72.25502159113093,1.5017713406326152,1.0110888444742585,1.485301068091103,0.012665366105294949,0.010035373499408001,0.011350369802351476,18.805528426510037,890,600,898,609,131,83,-922.9361545179532,0.9910913140311804,0.9852216748768473,0.852808988764045,0.8616666666666667,18045,13976,18308,14196,2884,2020,-26582.898645013305,0.9856346952152064,0.9845026768103691,0.8401773344416736,0.8554665140240412,890,600,177,64,3865,14180,198,65,1497,12479,188,32,0.22192484159930084,0.11869540715694561,0.2141867553338875,0.10711219232970808,0.9834605597964376,0.9790712884238064,58,56,0.005869639154333139,1.2620722194387777
25,2388.0,2487.5,199,91.06055001764096,92.65130237176142,72.25502159113093,73.44700182766157,1.590752354120454,1.1919802365306396,1.3345459139074947,0.012798249894900419,0.010113146594217868,0.011455698244559144,19.20430054409985,927,665,942,674,149,92,-926.3855184091112,0.9840764331210191,0.9866468842729971,0.8392664509169363,0.8616541353383459,18972,14641,19250,14870,3033,2112,-27468.48259403818,0.9855584415584415,0.9845998655010088,0.8401328273244781,0.8557475582268971,927,665,197,67,4055,14917,206,72,1563,13078,196,33,0.22135064935064935,0.11829186281102892,0.2137360320472275,0.10675500307356055,0.9825539132541798,0.9793233082706767,78,61,-0.0025704511519779594,1.2655062176412772
26,2487.5,2587.0,199,92.65130237176142,94.31799327417572,73.44700182766157,74.62079168514055,1.6666909024143024,1.1737898574789796,1.4199227330128381,0.012950265758012792,0.010177905686353276,0.011564085722183034,19.697201589035174,952,668,969,675,132,94,-470.63730379236324,0.9824561403508771,0.9896296296296296,0.8613445378151261,0.8592814371257484,19924,15309,20219,15545,3165,2206,-27877.37729985309,0.9854097630941194,0.984818269540045,0.8411463561533828,0.855901757136325,952,668,185,73,4236,15688,219,76,1635,13674,202,34,0.22033730649389188,0.11817304599549694,0.21260791005822124,0.10679992161473643,0.9823747680890538,0.9796285200718994,56,47,-0.007173489278752498,1.272390033578003
27,2587.0,2686.5,199,94.31799327417572,95.97758664651118,74.62079168514055,75.6928650232731,1.6595933723354648,1.0720733381325545,1.5480222418610952,0.0130883792623542,0.010200005713280655,0.011644192487817426,20.284721623238084,981,662,995,678,148,120,-1811.75971833498,0.985929648241206,0.976401179941003,0.8491335372069317,0.8187311178247734,20905,15971,21214,16223,3313,2326,-29709.63740846525,0.9854341472612426,0.984466498181594,0.841521167184884,0.8543610293657253,981,662,205,85,4440,16465,232,77,1719,14252,217,35,0.22023192231545205,0.11933674412870615,0.21238938053097345,0.10763258405860622,0.9829532875802524,0.9800456100342075,73,63,0.009528468300203041,1.2831737187473153
28,2686.5,2786.0,199,95.97758664651118,97.60728997329316,75.6928650232731,76.89342246823888,1.6297033267819785,1.2005574449657814,1.357455516698269,0.01320589885681857,0.01026664493671725,0.01173627189676791,20.71386750505428,947,678,965,693,148,91,-857.2272356970276,0.9813471502590674,0.9783549783549783,0.8437170010559663,0.8657817109144543,21852,16649,22179,16916,3461,2417,-30569.53276370517,0.9852563235493034,0.9842161267439111,0.8416163280248947,0.8548261156826236,947,678,179,88,4617,17235,248,79,1805,14844,230,37,0.2193516389377339,0.1203003074012769,0.21128500823723229,0.10841491981500391,0.9831771720613288,0.9799131378935939,77,50,0.0029921719040890693,1.2862915721950683
29,2786.0,2885.5,199,97.60728997329316,99.21514726679388,76.89342246823888,78.22730341051529,1.6078572935007145,1.3338809422764086,1.2053979051209296,0.013307742681891267,0.010374892994618148,0.011841317838254707,20.987843856278587,922,758,932,772,128,108,-550.9300665087461,0.9892703862660944,0.9818652849740933,0.8611713665943601,0.8575197889182058,22774,17407,23111,17688,3589,2525,-31075.068246700466,0.9854181991259573,0.9841135232926278,0.8424080091332221,0.8549434135692537,922,758,169,90,4784,17990,256,81,1893,15514,242,39,0.21807797152870928,0.12070330167345093,0.21006410819355406,0.10874935370827828,0.9833504624871532,0.9798136645962733,56,43,0.007405101292001115,1.2826872227785384
30,2885.5,2985.0,199,99.21514726679388,100.80667038017555,78.22730341051529,79.50494612733536,1.591523113381669,1.2776427168200684,1.2456714951914094,0.013397324831483726,0.010457084238790867,0.011927204535137296,21.301724252840188,923,738,934,749,137,108,-1129.1972756362175,0.9882226980728052,0.9853137516688919,0.8515709642470206,0.8536585365853658,23697,18145,24045,18437,3726,2633,-32216.880144598712,0.9855271366188397,0.9841622823669794,0.8427649069502469,0.8548911545880408,923,738,173,71,4953,18744,263,85,1961,16184,250,42,0.21692659596589728,0.11992189618701524,0.20901379921509053,0.1080738495453293,0.9831282254863041,0.9790314528207689,75,64,0.0029089464039132595,1.2811721246144263
